name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Suburban feel...City Thrill!,200900486,Daphné,,Eastland/Brice,39.91278,-82.90082,Private room,58,1,3,2018-10-14,0.06,1,72,0,,43232,"19,588","18,329","1,259",5.2,"104,700","1,129",864,"7,304","20,267","17,430","2,837",5.0,"93,000","1,126",737,"7,233","42,592","47,221","36,425","42,005"
"Carraway Guest House, for a Gatsby Get-A-Way/ Rm3",31873264,Kathy,,Southeast,39.8405,-82.81027,Private room,116,1,16,2022-09-18,0.31,1,286,5,,43110,"16,476",s,692,5.5,"182,000","1,459",998,"9,310","14,378","13,253","1,125",5.6,"157,200","1,480",890,"8,531","62,489","82,516","65,933","77,562"
Sunny Brownstone Garden Flat Downtown w/Garage,116400313,Nate,,Downtown,39.96525,-82.9924,Entire home/apt,119,30,23,2022-06-09,0.45,25,184,3,2019-0000,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
★Queen Bed★Riverside OSU★Laundry★COTA/CABS,41002453,Jerry,,West Olentangy,40.02146,-83.03448,Private room,79,2,237,2022-09-18,4.67,15,362,52,2019-1830,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
★Queen Bed★OSU/Riverside★BUS/Walk★Updated★UV★,41002453,Jerry,,West Olentangy,40.02146,-83.03448,Private room,78,2,273,2022-09-15,5.38,15,361,55,2019-1830,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
★Memory Foam★OSU/Riverside★Walk/Bus★Updated★,41002453,Jerry,,West Olentangy,40.02146,-83.03448,Private room,78,2,226,2022-09-05,4.45,15,364,38,2019-1830,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
★Queen Bed★TV★Desk★OSU/Riverside★Sofa Bed★,41002453,Jerry,,West Olentangy,40.02146,-83.03448,Private room,77,2,302,2022-09-13,5.94,15,362,66,2019-1830,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
"Spotless Ranch House 
3Bedroom /2Full Bath",171804983,Christy,,Eastmoor/Walnut Ridge,39.95032,-82.88472,Entire home/apt,125,1,307,2022-09-02,6.37,1,347,58,2019-2813,43227,"10,659","9,751",908,5.3,"86,300",922,898,"4,742","10,291","8,841","1,450",5.2,"80,300","1,020",777,"4,483","40,353","46,072","34,483","38,807"
Grandview Plant Loft- Close to OSU,205256572,Stephanie,,West Olentangy,39.98832,-83.0435,Entire home/apt,165,1,107,2022-09-19,2.16,2,89,63,2019-1844,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
Gem of German Village,89696876,Eric,,Near South,39.9518,-82.98834,Entire home/apt,141,1,294,2022-09-05,5.83,3,158,68,2019-1886,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Terry's Private Rustic Home/ Airport/City & Easton,125418001,Terry,,Northeast,39.99188,-82.92913,Entire home/apt,76,1,316,2022-09-08,6.46,3,339,75,2019-2985,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
3-Story Condo by Creative Victorian Village District,146602332,Charlie,,Near North/University,39.9816,-83.01238,Entire home/apt,178,2,84,2022-09-19,1.7,1,141,28,2019-2708,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Private King Room with en-suite Bathroom Dublin OH,17077324,John,,Hayden Run,40.07451,-83.11741,Private room,96,1,87,2022-09-18,1.76,1,123,41,2021-2983,43016,"16,442","15,402","1,040",5.3,"329,200","2,286","1,204","8,160","14,399","13,978",421,5.8,"255,100","2,149","1,072","7,790","93,056","122,970","87,158","105,824"
Mike and Allen's Place on the Park.,197936864,Michael A Foley &,,Near East,39.96337,-82.95392,Private room,165,1,80,2022-09-19,1.66,3,346,39,2021-3095,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Living is Easy at Sophia's Yellow Door House.,41814058,Georgia,,Far East,39.94968,-82.81002,Entire home/apt,145,2,103,2022-09-18,2.09,2,299,26,,43068,"22,474","21,424","1,050",5.7,"163,800","1,409",986,"12,422","22,356","21,206","1,150",5.7,"134,600","1,368",863,"11,971","62,075","80,348","56,612","65,798"
Wonderful home 12-minutes from downtown Columbus!,89732553,Bryce,,Eastland/Brice,39.92546,-82.82324,Entire home/apt,400,3,23,2021-07-26,0.46,1,0,0,2020-2158,43068,"22,474","21,424","1,050",5.7,"163,800","1,409",986,"12,422","22,356","21,206","1,150",5.7,"134,600","1,368",863,"11,971","62,075","80,348","56,612","65,798"
Live local in style with all the comforts of home,113301799,Crys,,Near East,39.96245,-82.95537,Entire home/apt,85,2,71,2022-09-05,1.44,1,157,13,2019-1192,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Mike and Allen's Place on the Park.- Too,197936864,Michael A Foley &,,Near East,39.96393,-82.95591,Private room,165,1,142,2022-09-18,2.86,3,344,33,2021-3095,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Historic Comfy German Village Haus sleeps6/petsOK,139332037,Jennifer,,Near South,39.94562,-82.99091,Entire home/apt,122,1,378,2022-09-18,7.92,3,285,119,2021-2322,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Ocean View!,123460291,Amanda,,Near North/University,39.98455,-83.00291,Private room,56,1,254,2022-08-15,5.12,2,74,81,2019-1234,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Beach Front Property!,123460291,Amanda,,Near North/University,39.98616,-83.00467,Entire home/apt,136,2,12,2022-09-04,0.25,2,167,5,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Perfect for Professionals and Long Term Stays,210372687,Jenefeness,,Far East,39.98768,-82.81026,Entire home/apt,203,1,130,2022-09-18,2.72,1,291,26,,43004,"9,919","9,675",244,6.2,"209,300","1,637",968,"7,619","9,314","9,074",240,5.9,"156,600","1,481",865,"6,488","84,363","98,576","66,633","84,675"
Welcome! | Shared Home | Private room |,74207205,Katy,,Far West,40.00983,-83.14671,Private room,45,3,51,2022-08-31,1.04,2,290,6,2019-1434,43026,"24,669","24,166",503,6.1,"234,700","1,774","1,166","16,882","22,715","21,992",723,6.0,"184,200","1,628",856,"16,030","93,036","107,708","77,013","95,009"
Mod Basement ShortNorth 3Bed 1400sq ft RoweRentals,27439453,Ingrid & Mike,,Near North/University,39.9858,-83.01063,Entire home/apt,146,1,219,2022-09-13,4.74,12,321,82,2019-1708,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
★King MemoryFoam★Laundry★FreeParking★OSU★Bus/Walk★,41002453,Jerry,,Near North/University,40.00843,-82.99905,Private room,83,2,277,2022-09-16,5.58,15,363,46,2019-1831,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Luxurious Parisian Flat w/Roof Deck - Short North,116400313,Nate,,Near North/University,39.97994,-83.00438,Entire home/apt,106,30,9,2022-08-15,0.18,25,112,3,2019-0000,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Sparkling clean close to downtown,38353745,Pina,,Near East,39.97149,-82.97779,Entire home/apt,150,2,80,2022-09-18,1.62,1,335,14,2019-2007,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
A Quiet Space,131678330,Isabel,,Northland,40.07186,-82.98516,Private room,40,1,78,2022-08-27,2.14,1,170,8,2021-1262,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
"Great, Big Columbus House!",2665847,Brandon,,Eastmoor/Walnut Ridge,39.96523,-82.8626,Entire home/apt,285,30,10,2018-12-03,0.2,1,89,0,,43213,"15,451","14,163","1,288",4.8,"125,600","1,135",872,"5,289","15,665","13,916","1,749",4.8,"97,700","1,112",771,"4,688","43,989","52,344","34,610","37,801"
"Private luxury Home in Grandview, Columbus!",152907584,Cindy,,West Olentangy,39.98467,-83.05306,Entire home/apt,386,2,85,2022-06-26,1.74,2,172,11,2019-2254,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
The Short North Retreat - Private Parking!!!,194281106,Nicole,,Near North/University,39.98173,-83.00412,Entire home/apt,107,1,291,2022-09-16,5.91,23,77,104,2021-3029,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The Clintonville Red House,214084121,Lesley,,Clintonville,40.05244,-83.01601,Entire home/apt,181,2,142,2022-09-11,2.95,1,59,12,20191433,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Private Townhouse in SOHUD (B),4723137,David,,Near North/University,40.01304,-83.00238,Entire home/apt,50,30,28,2022-05-31,0.58,3,12,2,2019-3030,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Monthly Rental for furnished condo in central Cbus,214709008,Maggie,,West Olentangy,40.02368,-83.06059,Entire home/apt,125,29,2,2022-09-04,0.2,1,152,2,,43221,"14,927","14,190",737,6.3,"306,300","2,055","1,244","10,010","13,903","13,150",753,6.6,"239,600","1,816","1,018","9,659","96,233","119,688","85,095","105,450"
Gray Room - Olde Towne/Franklin Park-Historic Home,25656963,Josh,,Near East,39.96031,-82.95052,Private room,95,1,181,2022-09-04,3.81,2,174,66,2019-1868,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Wincott Place - A Clintonville Gem,128025266,Angie And Sonia,,Clintonville,40.05899,-83.00626,Entire home/apt,170,1,153,2022-09-19,3.15,1,330,42,2019-1309,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Refurbished Duplex Apartment in Historic Italian Village,215572429,Zach & Cathleen,,Near North/University,39.97998,-83.00066,Entire home/apt,129,2,301,2022-09-05,6.24,1,66,93,2019-1891,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Dempsey’s Jury Room Guest Suite  Downtown Columbus,211013898,Megan,,Downtown,39.95435,-82.99943,Entire home/apt,223,2,79,2022-08-28,1.67,1,235,20,2019-1874,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Spacious 1BR - Great Location @ Grandview & OSU!,181661236,Chris,,West Olentangy,39.99097,-83.04083,Entire home/apt,76,2,240,2022-09-16,4.98,1,168,53,2021-3335,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
Comfy Clean Room-Safe Quiet Area- Easton Columbus,216277309,Starr,,Rocky Fork-Blacklick,40.0869,-82.9024,Private room,27,2,330,2022-09-08,6.84,2,291,107,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
Housepitality~ The Lovely Italian Villa (Flexible),26958698,Benjamin,,Near North/University,39.98378,-82.99854,Entire home/apt,163,30,140,2022-09-12,2.89,107,158,21,2021-2692,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Cozy Short North Brick Condo - 1 block off High St,218295417,John,,Near North/University,39.98042,-83.00834,Entire home/apt,186,2,60,2022-09-04,1.3,1,12,14,2019-1204,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Cozy place nestled in the heart of short north,218781688,Mark,,Near North/University,39.98241,-83.00755,Private room,129,2,40,2022-09-04,1.11,2,171,17,2019-2758,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Newly Remodeled,  3 Min. to OSU, 2 King Beds",16507907,Brian,,Clintonville,40.03295,-83.02217,Entire home/apt,183,2,94,2022-09-04,1.95,2,337,16,2019-1600,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Scarlet & Grey off I-71 - Driveway Parking,145046370,Senthan,,North Linden,40.02967,-82.99256,Entire home/apt,71,3,54,2022-06-25,1.13,2,21,7,2019-1528,43224,"18,950","17,585","1,365",5.0,"103,200",983,827,"8,324","18,876","16,274","2,602",5.0,"86,500",993,678,"7,866","39,038","45,010","33,487","39,337"
The Architect and Baker House,79004963,Amy And Kevin,,Near East,39.96147,-82.95667,Entire home/apt,186,2,47,2022-09-11,0.99,1,76,20,2019-2217,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Carriage House Style in the ❤️ of German Village,16967531,Philip,,Near South,39.94732,-82.9943,Entire home/apt,84,1,77,2022-09-18,9.06,1,5,77,,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Walk to OSU and the Short North!,52670347,Pat,,Near North/University,39.99025,-83.00703,Entire home/apt,211,2,129,2022-09-12,2.72,1,233,43,2022-1033,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Mid-Century Apartment in Uptown Westerville,66125835,Julia,,Far North,40.12549,-82.93138,Entire home/apt,94,2,221,2022-09-02,4.67,1,124,60,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
"Quiet Remodel Home, Grove City, Close to Columbus",154336191,Jara,,Greenlawn/Frank Road,39.90372,-83.06041,Entire home/apt,144,4,169,2022-09-16,3.56,2,72,28,2019-1895,43123,"26,409","25,432",977,6.2,"183,400","1,483","1,075","18,881","25,373","23,044","2,329",6.1,"148,600","1,452",891,"16,441","75,644","92,048","63,567","73,428"
❤ Large & Comfy 3 BR Home Near It All (30 day min),2994567,Mark,,Near North/University,40.0179,-83.00681,Entire home/apt,75,30,7,2021-11-11,0.15,5,183,1,2019-1496,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Vintage Townhome w/Cozy Loft & Two Private Suites,10776491,Catherine & Bryan,,Near South,39.94726,-82.99611,Entire home/apt,308,2,133,2022-08-29,2.98,4,236,31,2019-2362,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Short North Condo - Located on High St & PARKING!,76239450,Jonathan,,Near North/University,39.97825,-83.00396,Entire home/apt,119,1,218,2022-09-12,4.64,1,162,103,20211846,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Home away from Home,223588035,Rodger,,South Linden,39.9954,-82.95257,Entire home/apt,100,3,0,,,1,0,0,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Fantastic Hidden Gem In Quiet Neighborhood,83430852,Chase,,Clintonville,40.06509,-83.01286,Entire home/apt,134,1,268,2022-09-11,5.9,4,358,57,2019-1790,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Lux 1 BDR suite mins frm Polaris in Westerville,61820444,Piérrě,,Far North,40.13158,-82.97644,Private room,65,2,25,2022-09-18,0.53,1,65,5,,43240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cozy Room by StateFair/OSU/downtown/CMH Airport,53415810,Daritza,,Near East,39.9754,-82.96986,Private room,59,2,21,2022-07-27,0.46,3,10,3,,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Spacious 3br Perfect for OSU & Exploring Columbus!,11607037,Stephanie & Amanda,,Near North/University,40.00898,-83.00207,Entire home/apt,222,2,76,2022-09-18,1.87,1,141,16,2019-1570,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
*~Charming Home 4BD/2BA +Central Location~*,208455794,Katie,,Near North/University,40.00661,-82.99949,Entire home/apt,252,2,61,2022-09-04,1.35,2,321,10,2019-1269,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The Yellow Door is Ready and Awaiting Your Stay,41814058,Georgia,,Far East,39.94992,-82.81078,Entire home/apt,145,2,26,2022-09-05,0.55,2,299,4,,43068,"22,474","21,424","1,050",5.7,"163,800","1,409",986,"12,422","22,356","21,206","1,150",5.7,"134,600","1,368",863,"11,971","62,075","80,348","56,612","65,798"
The Short North Carriage House-Private Parking!!!,194281106,Nicole,,Near North/University,39.97854,-83.00968,Entire home/apt,108,1,204,2022-09-16,4.33,23,146,59,2021-3030,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Renovated Old Oaks Home Near Downtown & Nationwide,119659878,Kay,,Near South,39.95069,-82.96922,Entire home/apt,149,2,28,2022-02-20,0.65,7,350,2,2022-1370,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
